,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
2374,15,130,110,令和4年,楠木,29000000,40109,令和,4,0.0
2375,18,330,260,昭和60年,楠木,20000000,40109,昭和,60,38.0
2387,6,300,155,平成22年,楠橋下方,27000000,40109,平成,22,13.0
2394,20,200,110,令和4年,楠橋南,30000000,40109,令和,4,0.0
2395,19,200,80,平成2年,楠橋南,4000000,40109,平成,2,33.0
2413,3,170,115,令和3年,熊西,27000000,40109,令和,3,1.0
2417,18,165,120,昭和64年,熊西,21000000,40109,昭和,64,34.0
2440,18,1400,195,平成11年,紅梅,21000000,40109,平成,11,24.0
2453,20,175,110,令和3年,紅梅,25000000,40109,令和,3,1.0
2456,19,1200,1200,昭和52年,紅梅,69000000,40109,昭和,52,46.0
2466,60,160,110,令和3年,小嶺,25000000,40109,令和,3,1.0
2468,60,165,100,令和3年,小嶺,27000000,40109,令和,3,1.0
2469,60,165,120,令和3年,小嶺,26000000,40109,令和,3,1.0
2470,60,175,100,令和3年,小嶺,30000000,40109,令和,3,1.0
2472,30,650,165,昭和36年,小嶺,1200000,40109,昭和,36,62.0
2473,30,155,90,昭和60年,小嶺,16000000,40109,昭和,60,38.0
2474,30,165,105,平成4年,小嶺,8200000,40109,平成,4,31.0
2476,90,240,100,昭和45年,小嶺台,15000000,40109,昭和,45,53.0
2481,90,145,100,令和2年,小嶺台,22000000,40109,令和,2,2.0
2482,90,145,100,令和2年,小嶺台,22000000,40109,令和,2,2.0
2483,90,250,65,昭和48年,小嶺台,5500000,40109,昭和,48,50.0
2486,30,230,120,令和4年,小嶺台,41000000,40109,令和,4,0.0
2488,4,1300,690,平成10年,木屋瀬,85000000,40109,平成,10,25.0
2490,8,330,135,昭和59年,木屋瀬,2100000,40109,昭和,59,39.0
2492,6,330,95,昭和42年,木屋瀬,8200000,40109,昭和,42,56.0
2494,6,80,90,昭和61年,木屋瀬,2200000,40109,昭和,61,37.0
2498,6,220,110,平成7年,木屋瀬,7500000,40109,平成,7,28.0
2502,6,130,95,令和3年,木屋瀬,20000000,40109,令和,3,1.0
2503,6,175,115,令和2年,木屋瀬,23000000,40109,令和,2,2.0
2504,4,330,110,昭和64年,木屋瀬,12000000,40109,昭和,64,34.0
2507,30,430,60,昭和43年,金剛,4000000,40109,昭和,43,55.0
2515,23,190,430,平成4年,幸神,57000000,40109,平成,4,31.0
2521,4,190,105,令和4年,里中,36000000,40109,令和,4,0.0
2528,5,250,70,昭和42年,三ケ森,4000000,40109,昭和,42,56.0
2531,4,130,100,令和2年,三ケ森,29000000,40109,令和,2,2.0
2533,4,145,100,令和2年,三ケ森,27000000,40109,令和,2,2.0
2534,4,120,70,昭和54年,三ケ森,7400000,40109,昭和,54,44.0
2536,60,180,105,令和4年,下上津役,36000000,40109,令和,4,0.0
2538,11,990,700,平成14年,下上津役,72000000,40109,平成,14,21.0
2539,15,140,100,令和2年,下上津役,46000000,40109,令和,2,2.0
2540,19,165,100,令和3年,下上津役,19000000,40109,令和,3,1.0
2542,13,130,100,令和2年,下上津役,40000000,40109,令和,2,2.0
2543,16,135,90,平成9年,下上津役,10000000,40109,平成,9,26.0
2545,14,135,105,令和2年,下上津役,41000000,40109,令和,2,2.0
2546,21,310,95,昭和43年,下上津役,6000000,40109,昭和,43,55.0
2548,21,330,90,昭和43年,下上津役,2000000,40109,昭和,43,55.0
2549,13,300,165,平成10年,下上津役,15000000,40109,平成,10,25.0
2550,14,390,140,昭和45年,下上津役,5000000,40109,昭和,45,53.0
2553,23,200,120,昭和57年,松寿山,22000000,40109,昭和,57,41.0
2554,26,200,120,昭和57年,松寿山,16000000,40109,昭和,57,41.0
2555,26,220,105,昭和57年,松寿山,13000000,40109,昭和,57,41.0
2556,26,230,125,平成3年,松寿山,23000000,40109,平成,3,32.0
2557,29,165,100,昭和59年,松寿山,19000000,40109,昭和,59,39.0
2558,5,310,100,平成14年,陣原,30000000,40109,平成,14,21.0
2562,4,410,800,平成2年,陣原,110000000,40109,平成,2,33.0
2567,14,140,110,昭和41年,陣原,4300000,40109,昭和,41,57.0
2569,21,170,50,昭和41年,陣山,300000,40109,昭和,41,57.0
2571,15,125,100,平成22年,陣山,16000000,40109,平成,22,13.0
2573,16,45,70,昭和40年,陣山,3800000,40109,昭和,40,58.0
2582,14,160,90,昭和52年,瀬板,6500000,40109,昭和,52,46.0
2583,13,170,60,昭和52年,瀬板,3800000,40109,昭和,52,46.0
2585,9,140,110,令和3年,星和町,25000000,40109,令和,3,1.0
2587,16,240,110,昭和49年,大膳,500000,40109,昭和,49,49.0
2588,15,145,115,昭和54年,大膳,6600000,40109,昭和,54,44.0
2591,6,170,105,令和3年,高江,23000000,40109,令和,3,1.0
2592,7,175,105,令和3年,高江,23000000,40109,令和,3,1.0
2593,7,175,105,令和3年,高江,21000000,40109,令和,3,1.0
2596,5,65,60,昭和53年,鷹の巣,1800000,40109,昭和,53,45.0
2602,23,250,185,平成2年,鷹見台,21000000,40109,平成,2,33.0
2603,25,220,115,昭和51年,鷹見台,2500000,40109,昭和,51,47.0
2604,19,320,140,昭和47年,鷹見台,1000000,40109,昭和,47,51.0
2605,16,320,140,昭和47年,鷹見台,5800000,40109,昭和,47,51.0
2606,16,200,100,令和2年,鷹見台,30000000,40109,令和,2,2.0
2607,16,120,95,令和3年,鷹見台,24000000,40109,令和,3,1.0
2609,19,170,90,昭和52年,鷹見台,7900000,40109,昭和,52,46.0
2611,30,250,140,昭和60年,鷹見台,18000000,40109,昭和,60,38.0
2612,25,270,110,昭和49年,鷹見台,7700000,40109,昭和,49,49.0
2613,15,300,110,令和3年,竹末,64000000,40109,令和,3,1.0
2617,5,150,100,令和3年,竹末,32000000,40109,令和,3,1.0
2619,6,150,95,令和3年,竹末,33000000,40109,令和,3,1.0
2620,5,140,100,令和3年,竹末,33000000,40109,令和,3,1.0
2621,6,135,100,令和3年,竹末,27000000,40109,令和,3,1.0
2622,9,145,100,令和3年,竹末,26000000,40109,令和,3,1.0
2625,18,220,125,昭和54年,田町,7000000,40109,昭和,54,44.0
2634,18,250,110,昭和49年,茶屋の原,10000000,40109,昭和,49,49.0
2635,19,230,145,平成13年,茶屋の原,9500000,40109,平成,13,22.0
2636,16,140,110,令和3年,茶屋の原,20000000,40109,令和,3,1.0
2641,90,260,100,昭和58年,千代,12000000,40109,昭和,58,40.0
2642,90,250,145,昭和63年,千代,11000000,40109,昭和,63,35.0
2644,90,220,110,昭和63年,千代,17000000,40109,昭和,63,35.0
2645,30,175,105,平成31年,千代,31000000,40109,平成,31,4.0
2650,4,300,260,昭和60年,千代ケ崎,23000000,40109,昭和,60,38.0
2651,7,230,115,昭和61年,千代ケ崎,15000000,40109,昭和,61,37.0
2652,4,210,135,令和4年,千代ケ崎,50000000,40109,令和,4,0.0
2667,18,130,75,昭和50年,塔野,2500000,40109,昭和,50,48.0
2668,18,370,180,昭和49年,塔野,13000000,40109,昭和,49,49.0
2669,15,115,70,昭和53年,塔野,1800000,40109,昭和,53,45.0
2670,14,145,100,令和4年,塔野,26000000,40109,令和,4,0.0
2674,19,340,250,平成15年,友田,23000000,40109,平成,15,20.0
2675,16,195,45,昭和43年,友田,7000000,40109,昭和,43,55.0
2678,8,750,145,昭和48年,友田,28000000,40109,昭和,48,50.0
2680,18,155,95,昭和53年,中の原,4500000,40109,昭和,53,45.0
2682,19,200,100,令和3年,中の原,24000000,40109,令和,3,1.0
2683,26,145,105,平成19年,中の原,19000000,40109,平成,19,16.0
2685,24,130,80,令和2年,中の原,20000000,40109,令和,2,2.0
2687,29,200,115,昭和51年,鳴水町,9300000,40109,昭和,51,47.0
2691,13,110,110,昭和56年,西王子町,7000000,40109,昭和,56,42.0
2701,25,920,410,昭和51年,大字野面,4800000,40109,昭和,51,47.0
2708,12,200,75,昭和15年,大字野面,4200000,40109,昭和,15,83.0
2711,20,195,105,令和3年,野面,30000000,40109,令和,3,1.0
2712,19,180,110,令和2年,野面,27000000,40109,令和,2,2.0
2713,18,180,105,令和3年,野面,27000000,40109,令和,3,1.0
2715,21,180,100,令和2年,野面,25000000,40109,令和,2,2.0
2716,21,190,90,令和3年,野面,30000000,40109,令和,3,1.0
2722,16,180,120,令和4年,野面,29000000,40109,令和,4,0.0
2727,18,150,75,昭和48年,則松,4000000,40109,昭和,48,50.0
2728,24,145,95,令和3年,則松,31000000,40109,令和,3,1.0
2731,14,330,85,昭和46年,則松,6900000,40109,昭和,46,52.0
2732,30,85,45,昭和37年,則松,3000000,40109,昭和,37,61.0
2745,29,230,110,昭和54年,馬場山西,7200000,40109,昭和,54,44.0
2747,30,230,110,昭和51年,馬場山東,15000000,40109,昭和,51,47.0
2749,30,260,95,昭和43年,馬場山東,17000000,40109,昭和,43,55.0
2751,30,250,105,昭和43年,馬場山東,8500000,40109,昭和,43,55.0
2757,13,160,100,令和3年,東折尾町,25000000,40109,令和,3,1.0
2758,13,175,105,令和3年,東折尾町,28000000,40109,令和,3,1.0
2759,12,580,190,昭和60年,東折尾町,20000000,40109,昭和,60,38.0
2762,24,130,80,昭和58年,東川頭町,1800000,40109,昭和,58,40.0
2763,120,140,105,令和4年,東鳴水,30000000,40109,令和,4,0.0
2765,23,140,105,令和4年,東鳴水,34000000,40109,令和,4,0.0
2766,21,155,115,令和4年,東鳴水,35000000,40109,令和,4,0.0
2768,21,125,95,令和2年,東鳴水,15000000,40109,令和,2,2.0
2770,21,240,135,平成5年,東鳴水,27000000,40109,平成,5,30.0
2771,20,240,135,平成5年,東鳴水,13000000,40109,平成,5,30.0
2773,20,240,135,平成5年,東鳴水,18000000,40109,平成,5,30.0
2775,20,145,105,令和4年,東鳴水,31000000,40109,令和,4,0.0
2781,30,140,110,令和3年,引野,32000000,40109,令和,3,1.0
2782,15,210,105,昭和47年,日吉台,8000000,40109,昭和,47,51.0
2784,16,130,75,昭和53年,日吉台,15000000,40109,昭和,53,45.0
2785,16,135,105,昭和53年,日吉台,1600000,40109,昭和,53,45.0
2786,19,195,115,昭和55年,日吉台,11000000,40109,昭和,55,43.0
2788,19,230,85,昭和56年,日吉台,10000000,40109,昭和,56,42.0
2789,24,160,105,令和4年,平尾町,24000000,40109,令和,4,0.0
2792,8,35,50,平成3年,藤田,6000000,40109,平成,3,32.0
2800,28,140,110,令和3年,藤原,25000000,40109,令和,3,1.0
2802,21,145,110,平成21年,藤原,28000000,40109,平成,21,14.0
2804,24,175,105,令和3年,藤原,30000000,40109,令和,3,1.0
2805,26,165,105,令和3年,藤原,34000000,40109,令和,3,1.0
2807,24,220,100,平成27年,船越,25000000,40109,平成,27,8.0
2808,25,195,100,昭和58年,船越,17000000,40109,昭和,58,40.0
2814,30,185,90,昭和57年,別当町,17000000,40109,昭和,57,41.0
2815,30,320,90,昭和42年,別当町,6000000,40109,昭和,42,56.0
2816,30,210,95,昭和59年,別当町,11000000,40109,昭和,59,39.0
2817,29,210,110,平成19年,星ケ丘,21000000,40109,平成,19,16.0
2819,30,340,130,平成8年,星ケ丘,24000000,40109,平成,8,27.0
2820,30,250,130,平成9年,星ケ丘,17000000,40109,平成,9,26.0
2821,30,260,125,平成8年,星ケ丘,21000000,40109,平成,8,27.0
2823,30,195,105,平成27年,大字本城,23000000,40109,平成,27,8.0
2824,30,195,105,平成27年,大字本城,16000000,40109,平成,27,8.0
2831,14,180,115,令和3年,本城,30000000,40109,令和,3,1.0
2832,16,280,120,昭和64年,本城,10000000,40109,昭和,64,34.0
2834,14,160,105,令和3年,本城,27000000,40109,令和,3,1.0
2835,23,135,95,令和3年,本城,24000000,40109,令和,3,1.0
2836,3,80,60,昭和50年,本城,3200000,40109,昭和,50,48.0
2838,30,320,190,平成22年,本城学研台,35000000,40109,平成,22,13.0
2839,30,260,210,平成19年,本城学研台,62000000,40109,平成,19,16.0
2841,30,210,120,令和3年,本城学研台,47000000,40109,令和,3,1.0
2844,19,200,100,平成23年,本城東,20000000,40109,平成,23,12.0
2846,13,150,80,昭和40年,本城東,300000,40109,昭和,40,58.0
2847,5,330,135,昭和60年,本城東,19000000,40109,昭和,60,38.0
2848,14,135,100,平成30年,本城東,25000000,40109,平成,30,5.0
2851,6,120,80,平成24年,本城東,17000000,40109,平成,24,11.0
2853,15,155,115,令和3年,本城東,28000000,40109,令和,3,1.0
2855,25,105,55,平成6年,本城東,5000000,40109,平成,6,29.0
2857,60,260,95,昭和48年,町上津役西,2000000,40109,昭和,48,50.0
2858,60,150,100,令和3年,町上津役西,32000000,40109,令和,3,1.0
2860,20,185,95,平成23年,町上津役西,24000000,40109,平成,23,12.0
2863,25,310,75,昭和42年,町上津役西,6000000,40109,昭和,42,56.0
2864,26,185,85,昭和54年,町上津役西,7400000,40109,昭和,54,44.0
2865,60,280,135,昭和44年,町上津役東,2100000,40109,昭和,44,54.0
2866,30,230,100,平成4年,町上津役東,6500000,40109,平成,4,31.0
2868,14,145,85,昭和53年,的場町,12000000,40109,昭和,53,45.0
2870,9,430,185,昭和60年,的場町,25000000,40109,昭和,60,38.0
2871,7,250,120,令和3年,的場町,43000000,40109,令和,3,1.0
2874,11,155,110,令和2年,真名子,23000000,40109,令和,2,2.0
2876,9,340,135,昭和40年,真名子,10000000,40109,昭和,40,58.0
2878,10,200,115,令和3年,真名子,23000000,40109,令和,3,1.0
2879,9,150,105,令和2年,真名子,23000000,40109,令和,2,2.0
2880,15,250,100,昭和49年,丸尾町,9900000,40109,昭和,49,49.0
2882,5,160,115,令和3年,丸尾町,34000000,40109,令和,3,1.0
2883,30,200,140,昭和44年,三ツ頭,4500000,40109,昭和,44,54.0
2885,30,240,110,昭和46年,三ツ頭,7500000,40109,昭和,46,52.0
2886,30,130,100,令和2年,三ツ頭,19000000,40109,令和,2,2.0
2888,30,135,105,令和2年,三ツ頭,21000000,40109,令和,2,2.0
2889,30,260,85,昭和55年,三ツ頭,7100000,40109,昭和,55,43.0
2891,30,230,95,令和4年,光貞台,41000000,40109,令和,4,0.0
2892,30,95,70,昭和53年,光貞台,5000000,40109,昭和,53,45.0
2893,30,115,85,令和2年,光貞台,24000000,40109,令和,2,2.0
2895,30,135,100,令和2年,光貞台,34000000,40109,令和,2,2.0
2897,30,135,100,令和3年,光貞台,33000000,40109,令和,3,1.0
2900,30,200,110,令和2年,光貞台,43000000,40109,令和,2,2.0
2905,10,155,105,令和4年,南鷹見町,34000000,40109,令和,4,0.0
2907,9,105,105,昭和29年,南鷹見町,4000000,40109,昭和,29,69.0
2911,8,260,100,平成4年,南鷹見町,24000000,40109,平成,4,31.0
2912,8,90,45,昭和38年,南鷹見町,1300000,40109,昭和,38,60.0
2915,8,290,280,昭和59年,南鷹見町,18000000,40109,昭和,59,39.0
2922,13,330,150,昭和54年,南八千代町,28000000,40109,昭和,54,44.0
2923,13,125,105,令和2年,南八千代町,28000000,40109,令和,2,2.0
2924,10,160,100,令和3年,美原町,26000000,40109,令和,3,1.0
2928,6,165,70,昭和39年,美原町,5200000,40109,昭和,39,59.0
2931,29,180,105,令和3年,椋枝,22000000,40109,令和,3,1.0
2933,4,210,105,昭和55年,森下町,300000,40109,昭和,55,43.0
2939,15,230,110,令和4年,八枝,59000000,40109,令和,4,0.0
2942,8,380,500,昭和64年,山寺町,45000000,40109,昭和,64,34.0
2944,15,125,100,昭和50年,山寺町,13000000,40109,昭和,50,48.0
2949,20,165,105,令和4年,養福寺町,28000000,40109,令和,4,0.0
2955,9,115,95,令和4年,若葉,27000000,40109,令和,4,0.0
2956,8,250,75,昭和49年,若葉,2200000,40109,昭和,49,49.0
2963,11,120,100,令和3年,若葉,25000000,40109,令和,3,1.0
2966,10,130,95,令和3年,若葉,24000000,40109,令和,3,1.0
2970,30,160,80,昭和52年,割子川,3000000,40109,昭和,52,46.0
2971,16,200,140,平成16年,青葉,32000000,40131,平成,16,19.0
2972,5,460,150,昭和48年,青葉,37000000,40131,昭和,48,50.0
2974,10,115,100,令和4年,青葉,34000000,40131,令和,4,0.0
2976,12,165,115,令和2年,青葉,48000000,40131,令和,2,2.0
2980,9,210,105,昭和47年,青葉,26000000,40131,昭和,47,51.0
2981,7,85,70,昭和63年,青葉,2800000,40131,昭和,63,35.0
2982,2,270,105,令和3年,青葉,39000000,40131,令和,3,1.0
2985,13,140,100,令和3年,青葉,35000000,40131,令和,3,1.0
2986,9,165,120,平成30年,青葉,42000000,40131,平成,30,5.0
2987,11,300,220,昭和48年,青葉,29000000,40131,昭和,48,50.0
2988,18,195,110,平成2年,青葉,26000000,40131,平成,2,33.0
2990,18,550,230,昭和62年,青葉,63000000,40131,昭和,62,36.0
2991,19,195,125,平成2年,青葉,24000000,40131,平成,2,33.0
2994,20,165,100,令和3年,大岳,36000000,40131,令和,3,1.0
2997,30,260,165,昭和61年,大岳,14000000,40131,昭和,61,37.0
2998,19,170,110,令和4年,大岳,36000000,40131,令和,4,0.0
2999,19,170,110,令和3年,大岳,41000000,40131,令和,3,1.0
3003,23,135,95,令和3年,大岳,26000000,40131,令和,3,1.0
3006,25,490,165,昭和40年,大岳,3800000,40131,昭和,40,58.0
3012,15,210,100,令和3年,大字香椎,30000000,40131,令和,3,1.0
3014,15,150,85,平成12年,香椎,22000000,40131,平成,12,23.0
3015,13,105,75,昭和57年,香椎,19000000,40131,昭和,57,41.0
3017,6,130,210,平成27年,香椎,65000000,40131,平成,27,8.0
3018,9,90,155,昭和61年,香椎,10000000,40131,昭和,61,37.0
3024,15,180,115,令和3年,香椎,45000000,40131,令和,3,1.0
3029,19,165,115,令和3年,香椎,39000000,40131,令和,3,1.0
3033,15,195,105,昭和56年,香椎,14000000,40131,昭和,56,42.0
3036,8,165,95,昭和60年,香椎,12000000,40131,昭和,60,38.0
3039,8,170,105,令和4年,香椎,38000000,40131,令和,4,0.0
3041,12,170,125,令和3年,香椎,44000000,40131,令和,3,1.0
3043,13,150,125,令和3年,香椎,42000000,40131,令和,3,1.0
3050,7,240,230,令和2年,香椎,87000000,40131,令和,2,2.0
3053,13,185,85,昭和61年,香椎,22000000,40131,昭和,61,37.0
3054,14,175,95,令和4年,香椎駅東,50000000,40131,令和,4,0.0
3056,23,570,115,昭和45年,香椎駅東,34000000,40131,昭和,45,53.0
3061,20,180,115,令和4年,香椎駅東,55000000,40131,令和,4,0.0
3062,15,260,250,平成6年,香椎駅東,50000000,40131,平成,6,29.0
3063,20,170,100,令和4年,香椎駅東,51000000,40131,令和,4,0.0
3064,21,170,120,令和4年,香椎駅東,54000000,40131,令和,4,0.0
3067,14,185,115,平成9年,香椎駅東,33000000,40131,平成,9,26.0
3073,15,240,190,平成25年,香椎駅東,63000000,40131,平成,25,10.0
3074,19,155,115,令和3年,香椎駅東,43000000,40131,令和,3,1.0
3078,9,115,105,昭和52年,香椎駅東,7500000,40131,昭和,52,46.0
3083,3,125,105,令和3年,香椎駅東,41000000,40131,令和,3,1.0
3086,6,140,100,令和3年,香椎駅東,34000000,40131,令和,3,1.0
3095,24,310,50,昭和46年,香椎駅東,12000000,40131,昭和,46,52.0
3123,6,210,95,昭和54年,香椎台,25000000,40131,昭和,54,44.0
3124,13,200,95,平成15年,香椎台,19000000,40131,平成,15,20.0
3125,11,210,100,昭和55年,香椎台,27000000,40131,昭和,55,43.0
3153,30,230,130,令和3年,香椎照葉,73000000,40131,令和,3,1.0
3163,30,220,135,令和3年,香椎照葉,70000000,40131,令和,3,1.0
3175,30,230,155,平成26年,香椎照葉,65000000,40131,平成,26,9.0
3176,30,220,160,令和4年,香椎照葉,79000000,40131,令和,4,0.0
3177,30,370,185,令和3年,香椎照葉,130000000,40131,令和,3,1.0
3217,13,170,105,令和3年,香住ヶ丘,37000000,40131,令和,3,1.0
3220,9,175,100,令和4年,香住ヶ丘,38000000,40131,令和,4,0.0
3223,8,115,90,令和4年,香住ヶ丘,30000000,40131,令和,4,0.0
3225,3,190,110,昭和52年,香住ヶ丘,12000000,40131,昭和,52,46.0
3231,9,190,105,令和3年,香住ヶ丘,46000000,40131,令和,3,1.0
3237,6,160,165,令和3年,香住ヶ丘,67000000,40131,令和,3,1.0
3240,8,290,195,平成11年,香住ヶ丘,50000000,40131,平成,11,24.0
3243,7,220,200,平成8年,香住ヶ丘,33000000,40131,平成,8,27.0
3248,3,155,175,平成2年,香住ヶ丘,22000000,40131,平成,2,33.0
3251,6,130,105,平成5年,香住ヶ丘,18000000,40131,平成,5,30.0
3261,4,115,100,令和4年,雁の巣,33000000,40131,令和,4,0.0
3262,4,105,100,令和4年,雁の巣,30000000,40131,令和,4,0.0
3263,14,165,85,昭和54年,雁の巣,14000000,40131,昭和,54,44.0
3264,3,170,115,令和4年,雁の巣,31000000,40131,令和,4,0.0
3266,6,260,100,昭和60年,雁の巣,21000000,40131,昭和,60,38.0
3269,7,100,95,令和2年,郷口町,33000000,40131,令和,2,2.0
3274,3,300,135,平成5年,西戸崎,26000000,40131,平成,5,30.0
3279,16,165,100,令和4年,西戸崎,30000000,40131,令和,4,0.0
3282,16,165,100,令和3年,西戸崎,25000000,40131,令和,3,1.0
3284,11,185,110,平成18年,西戸崎,22000000,40131,平成,18,17.0
3289,11,270,115,令和2年,西戸崎,61000000,40131,令和,2,2.0
3297,13,130,95,令和3年,塩浜,30000000,40131,令和,3,1.0
3300,11,120,100,令和3年,塩浜,31000000,40131,令和,3,1.0
3301,60,110,105,昭和46年,大字志賀島,2800000,40131,昭和,46,52.0
3306,30,175,135,令和4年,下原,48000000,40131,令和,4,0.0
3309,30,170,105,令和4年,下原,43000000,40131,令和,4,0.0
3311,9,200,190,昭和57年,下原,34000000,40131,昭和,57,41.0
3312,16,155,110,令和4年,下原,37000000,40131,令和,4,0.0
3314,12,195,115,平成12年,下原,31000000,40131,平成,12,23.0
3316,20,200,120,平成22年,下原,28000000,40131,平成,22,13.0
3319,13,185,110,平成16年,下原,36000000,40131,平成,16,19.0
3324,11,70,115,平成4年,社領,22000000,40131,平成,4,31.0
3330,11,120,105,平成10年,社領,28000000,40131,平成,10,25.0
3332,10,120,125,平成13年,社領,26000000,40131,平成,13,22.0
3333,30,240,65,昭和49年,高美台,18000000,40131,昭和,49,49.0
3339,30,240,95,昭和54年,高美台,20000000,40131,昭和,54,44.0
3341,28,170,105,令和3年,高美台,35000000,40131,令和,3,1.0
3342,15,155,90,令和3年,高美台,47000000,40131,令和,3,1.0
3343,24,145,90,令和3年,高美台,33000000,40131,令和,3,1.0
3345,30,300,185,平成10年,高美台,30000000,40131,平成,10,25.0
3346,28,250,105,令和3年,高美台,36000000,40131,令和,3,1.0
3347,30,270,65,昭和50年,高美台,20000000,40131,昭和,50,48.0
3348,30,220,65,昭和49年,高美台,16000000,40131,昭和,49,49.0
3351,21,1100,620,平成5年,多々良,97000000,40131,平成,5,30.0
3356,23,105,80,令和4年,多々良,34000000,40131,令和,4,0.0
3369,19,130,115,昭和53年,多の津,8100000,40131,昭和,53,45.0
3396,12,130,195,令和3年,千早,65000000,40131,令和,3,1.0
3399,16,250,100,昭和62年,千早,38000000,40131,昭和,62,36.0
3403,8,250,220,昭和62年,千早,58000000,40131,昭和,62,36.0
3406,10,75,85,令和3年,千早,35000000,40131,令和,3,1.0
3410,10,120,110,令和3年,千早,46000000,40131,令和,3,1.0
3411,9,80,115,令和3年,千早,34000000,40131,令和,3,1.0
3426,7,145,95,令和4年,土井,29000000,40131,令和,4,0.0
3429,9,130,155,平成15年,唐原,30000000,40131,平成,15,20.0
3430,10,150,75,平成16年,唐原,11000000,40131,平成,16,19.0
3433,6,125,90,令和2年,唐原,35000000,40131,令和,2,2.0
3434,8,165,95,平成9年,唐原,18000000,40131,平成,9,26.0
3436,6,290,165,令和3年,唐原,71000000,40131,令和,3,1.0
3437,8,180,100,昭和54年,唐原,8500000,40131,昭和,54,44.0
3438,8,200,95,令和3年,唐原,34000000,40131,令和,3,1.0
3440,6,115,100,令和3年,唐原,35000000,40131,令和,3,1.0
3442,6,155,135,平成26年,唐原,45000000,40131,平成,26,9.0
3444,4,135,100,令和3年,唐原,36000000,40131,令和,3,1.0
3452,9,90,90,令和4年,名島,31000000,40131,令和,4,0.0
3454,6,90,85,令和4年,名島,39000000,40131,令和,4,0.0
3455,6,85,85,令和4年,名島,36000000,40131,令和,4,0.0
3457,30,90,85,令和4年,名島,38000000,40131,令和,4,0.0
3461,8,185,135,平成14年,名島,40000000,40131,平成,14,21.0
3466,9,210,210,令和3年,名島,90000000,40131,令和,3,1.0
3467,6,120,100,令和3年,名島,41000000,40131,令和,3,1.0
3469,11,320,170,平成4年,名島,47000000,40131,平成,4,31.0
3472,9,210,210,令和3年,名島,80000000,40131,令和,3,1.0
3476,6,120,105,令和3年,名島,35000000,40131,令和,3,1.0
3478,8,230,120,昭和48年,名島,3000000,40131,昭和,48,50.0
3479,10,175,125,平成12年,名島,35000000,40131,平成,12,23.0
3480,5,95,85,昭和47年,名島,5900000,40131,昭和,47,51.0
3481,11,280,125,平成23年,名島,52000000,40131,平成,23,12.0
3483,7,115,95,令和2年,名島,35000000,40131,令和,2,2.0
3485,9,110,105,令和3年,名島,35000000,40131,令和,3,1.0
3486,7,100,90,令和2年,名島,32000000,40131,令和,2,2.0
3487,6,610,310,昭和54年,名島,66000000,40131,昭和,54,44.0
3491,8,170,105,令和4年,奈多,32000000,40131,令和,4,0.0
3493,2,165,100,平成7年,奈多,28000000,40131,平成,7,28.0
3496,7,270,80,令和4年,奈多,35000000,40131,令和,4,0.0
3497,5,195,105,令和4年,奈多,34000000,40131,令和,4,0.0
3499,7,180,105,令和3年,奈多,30000000,40131,令和,3,1.0
3530,6,130,160,平成21年,箱崎,53000000,40131,平成,21,14.0
3532,6,200,210,令和4年,箱崎,110000000,40131,令和,4,0.0
3533,6,165,170,平成26年,箱崎,59000000,40131,平成,26,9.0
3552,7,210,320,平成28年,箱崎,110000000,40131,平成,28,7.0
3579,6,210,320,平成31年,箱崎,110000000,40131,平成,31,4.0
3591,4,135,140,平成12年,箱崎,49000000,40131,平成,12,23.0
3595,4,130,125,令和3年,箱崎,56000000,40131,令和,3,1.0
3596,11,150,165,平成17年,箱崎,45000000,40131,平成,17,18.0
3601,3,220,180,昭和46年,箱崎,45000000,40131,昭和,46,52.0
3605,4,90,95,令和4年,箱崎,45000000,40131,令和,4,0.0
3608,8,185,360,昭和59年,箱崎,75000000,40131,昭和,59,39.0
3609,1,80,90,平成24年,箱崎,44000000,40131,平成,24,11.0
3629,8,80,40,昭和60年,筥松,1400000,40131,昭和,60,38.0
3630,8,270,270,平成27年,筥松,90000000,40131,平成,27,8.0
3632,6,130,125,平成27年,筥松,44000000,40131,平成,27,8.0
3635,9,165,190,令和2年,筥松,77000000,40131,令和,2,2.0
3636,13,440,570,昭和62年,筥松,100000000,40131,昭和,62,36.0
3647,7,150,175,平成17年,筥松,40000000,40131,平成,17,18.0
3648,10,80,110,令和2年,筥松,34000000,40131,令和,2,2.0
3655,14,540,540,昭和52年,八田,90000000,40131,昭和,52,46.0
3656,11,240,115,昭和48年,八田,9000000,40131,昭和,48,50.0
3657,10,105,75,昭和61年,八田,3000000,40131,昭和,61,37.0
3660,11,290,290,昭和53年,八田,32000000,40131,昭和,53,45.0
3666,12,220,200,令和3年,原田,67000000,40131,令和,3,1.0
3667,7,105,100,平成26年,原田,35000000,40131,平成,26,9.0
3678,8,175,165,令和3年,原田,84000000,40131,令和,3,1.0
3679,12,150,220,令和4年,原田,60000000,40131,令和,4,0.0
3680,12,340,130,昭和47年,原田,39000000,40131,昭和,47,51.0
3684,11,220,200,平成20年,原田,47000000,40131,平成,20,15.0
3686,23,135,110,令和3年,原田,40000000,40131,令和,3,1.0
3689,24,120,80,昭和55年,原田,15000000,40131,昭和,55,43.0
3710,9,100,90,平成18年,馬出,25000000,40131,平成,18,17.0
