,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
214,90,1100,340,昭和44年,恒見町,3000000,40101,昭和,44,54.0
216,20,180,100,昭和48年,永黒,4700000,40101,昭和,48,50.0
221,14,270,165,昭和42年,長谷,3800000,40101,昭和,42,56.0
224,30,290,80,昭和38年,鳴竹,3000000,40101,昭和,38,60.0
237,60,85,65,昭和51年,大字畑,2500000,40101,昭和,51,47.0
238,90,130,95,平成26年,大字畑,15000000,40101,平成,26,9.0
241,60,190,160,平成23年,大字畑,28000000,40101,平成,23,12.0
249,13,40,80,昭和54年,原町別院,5500000,40101,昭和,54,44.0
250,12,280,680,昭和64年,原町別院,70000000,40101,昭和,64,34.0
253,19,180,35,昭和15年,東新町,1000000,40101,昭和,15,83.0
257,23,1400,630,平成7年,東新町,130000000,40101,平成,7,28.0
258,14,105,175,昭和60年,東本町,19000000,40101,昭和,60,38.0
263,18,220,300,平成13年,東馬寄,31000000,40101,平成,13,22.0
264,18,310,130,平成30年,東馬寄,39000000,40101,平成,30,5.0
265,20,130,100,令和4年,東馬寄,33000000,40101,令和,4,0.0
267,20,80,40,昭和39年,東門司,3200000,40101,昭和,39,59.0
269,25,270,50,昭和29年,東門司,1000000,40101,昭和,29,69.0
271,30,160,130,平成21年,光町,26000000,40101,平成,21,14.0
272,30,250,85,昭和51年,光町,300000,40101,昭和,51,47.0
273,60,190,65,昭和43年,大字柄杓田,880000,40101,昭和,43,55.0
274,60,220,70,昭和43年,大字柄杓田,200000,40101,昭和,43,55.0
275,30,200,110,令和4年,藤松,39000000,40101,令和,4,0.0
280,29,165,105,令和3年,藤松,32000000,40101,令和,3,1.0
283,30,155,110,令和3年,藤松,28000000,40101,令和,3,1.0
286,24,130,75,昭和55年,二タ松町,1000000,40101,昭和,55,43.0
289,11,165,110,令和4年,不老町,39000000,40101,令和,4,0.0
290,10,165,110,令和4年,不老町,36000000,40101,令和,4,0.0
291,9,170,110,令和4年,不老町,39000000,40101,令和,4,0.0
292,11,165,110,令和4年,不老町,39000000,40101,令和,4,0.0
293,3,165,110,令和4年,不老町,40000000,40101,令和,4,0.0
294,15,105,75,昭和52年,別院,7500000,40101,昭和,52,46.0
305,6,155,145,昭和64年,南本町,16000000,40101,昭和,64,34.0
306,26,200,105,平成21年,桃山台,23000000,40101,平成,21,14.0
310,13,175,110,平成30年,柳町,29000000,40101,平成,30,5.0
314,14,330,150,昭和34年,柳町,4800000,40101,昭和,34,64.0
317,5,105,70,平成5年,柳町,7900000,40101,平成,5,30.0
322,60,230,115,平成8年,青葉台西,19000000,40103,平成,8,27.0
323,60,220,125,平成4年,青葉台西,13000000,40103,平成,4,31.0
324,60,210,110,令和4年,青葉台東,39000000,40103,令和,4,0.0
328,60,360,145,平成11年,青葉台東,24000000,40103,平成,11,24.0
329,60,390,220,平成8年,青葉台南,16000000,40103,平成,8,27.0
331,60,350,140,平成10年,青葉台南,25000000,40103,平成,10,25.0
332,30,170,105,令和4年,赤崎町,26000000,40103,令和,4,0.0
334,9,330,120,平成4年,赤島町,6000000,40103,平成,4,31.0
342,60,1400,240,平成9年,大字蜑住,2000000,40103,平成,9,26.0
347,90,560,520,昭和41年,大字有毛,5000000,40103,昭和,41,57.0
364,14,220,150,昭和38年,今光,4500000,40103,昭和,38,60.0
365,15,350,100,昭和36年,今光,3000000,40103,昭和,36,62.0
367,6,135,100,令和3年,今光,25000000,40103,令和,3,1.0
371,16,135,110,令和4年,老松,25000000,40103,令和,4,0.0
379,30,530,120,昭和44年,大谷町,3000000,40103,昭和,44,54.0
386,30,175,165,平成10年,鴨生田,12000000,40103,平成,10,25.0
394,19,170,100,令和4年,くきのうみ中央,28000000,40103,令和,4,0.0
397,23,175,105,令和3年,くきのうみ中央,25000000,40103,令和,3,1.0
403,30,170,70,昭和49年,小石本村町,1300000,40103,昭和,49,49.0
404,29,280,45,昭和40年,小糸町,1800000,40103,昭和,40,58.0
405,29,185,105,令和3年,小糸町,22000000,40103,令和,3,1.0
406,29,165,105,令和3年,小糸町,24000000,40103,令和,3,1.0
