No,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（㎡）,取引価格（㎡単価）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等
1,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,大字伊川,小森江,30分?60分,13000000,,,310,,ほぼ台形,18,165,昭和64年,木造,住宅,住宅,北西,市道,4,市街化調整区域,70,200,2021年第３四半期,,
2,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,泉ケ丘,門司,25,14000000,,,280,,長方形,17.5,115,昭和55年,木造,住宅,住宅,南東,市道,6,第１種住居地域,60,200,2021年第３四半期,,
3,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,稲積,門司,30分?60分,30000000,,,160,,ほぼ長方形,12.5,115,令和4年,木造,住宅,住宅,東,市道,3,第１種住居地域,60,200,2022年第3四半期,,
4,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,稲積,門司,28,33000000,,,150,,長方形,9,105,令和4年,木造,住宅,住宅,西,市道,3.8,第１種中高層住居専用地域,60,200,2022年第２四半期,,
5,中古マンション等,,40101,福岡県,北九州市門司区,稲積,門司,30分?60分,16000000,,３ＬＤＫ,70,,,,,平成14年,ＳＲＣ,,住宅,,,,第１種住居地域,60,200,2022年第２四半期,,
6,宅地(土地),住宅地,40101,福岡県,北九州市門司区,稲積,門司,26,34000000,230000,,480,70000,台形,24,,,,,その他,南東,市道,6,第１種中高層住居専用地域,60,200,2021年第１四半期,,
7,宅地(土地),住宅地,40101,福岡県,北九州市門司区,稲積,門司港,30分?60分,9000000,170000,,175,52000,不整形,13,,,,,住宅,南西,市道,10,第１種中高層住居専用地域,60,200,2022年第２四半期,,
8,中古マンション等,,40101,福岡県,北九州市門司区,梅ノ木町,門司,10,15000000,,３ＬＤＫ,65,,,,,平成7年,ＲＣ,住宅,住宅,,,,準工業地域,60,200,2022年第3四半期,改装済,
9,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,梅ノ木町,門司,12,13000000,,,185,,ほぼ整形,15,80,昭和56年,木造,住宅,住宅,北,市道,11.9,近隣商業地域,80,300,2021年第４四半期,,
10,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,梅ノ木町,門司,9,180000000,,,2000㎡以上,,不整形,,2000㎡以上,平成11年,鉄骨造,店舗,店舗,東,国道,15,近隣商業地域,80,300,2021年第４四半期,,
11,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,梅ノ木町,門司,7,18000000,,,180,,長方形,15,105,平成7年,木造,住宅,住宅,南東,市道,6,準工業地域,60,200,2021年第４四半期,,
12,宅地(土地),住宅地,40101,福岡県,北九州市門司区,老松町,門司港,14,16000000,310000,,170,93000,長方形,9,,,,,その他,南東,市道,6,第１種住居地域,60,200,2021年第１四半期,,
13,中古マンション等,,40101,福岡県,北九州市門司区,大久保,門司港,30分?60分,6700000,,４ＬＤＫ,75,,,,,平成4年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2022年第２四半期,未改装,
14,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,大字大積,門司港,1H?1H30,20000000,,,660,,長方形,18,150,平成5年,木造,住宅,住宅,北,市道,4,市街化調整区域,,,2021年第３四半期,,
15,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,奥田,小森江,30分?60分,3800000,,,150,,ほぼ整形,11,70,昭和44年,木造,住宅,住宅,南東,私道,4,第１種住居地域,60,200,2021年第４四半期,,
16,宅地(土地),住宅地,40101,福岡県,北九州市門司区,奥田,門司,30分?60分,1200000,28000,,140,8500,不整形,,,,,,その他,南東,市道,4,第１種中高層住居専用地域,60,200,2021年第３四半期,,
17,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,奥田,門司,30分?60分,200000,,,540,,不整形,40,65,,木造,住宅,,北西,市道,2.5,第１種住居地域,60,200,2021年第１四半期,,
18,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,風師,小森江,23,1500000,,,230,,台形,,100,昭和48年,木造,住宅,住宅,接面道路無,,,第１種住居地域,60,200,2022年第２四半期,,
19,宅地(土地),住宅地,40101,福岡県,北九州市門司区,風師,門司港,25,4700000,180000,,85,55000,長方形,7,,,,,その他,北西,国道,13,第１種住居地域,60,200,2021年第４四半期,,
20,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,風師,門司港,16,2000000,,,75,,長方形,,80,昭和45年,木造,住宅,住宅,接面道路無,,,第１種住居地域,60,200,2021年第４四半期,,
21,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,風師,門司港,25,3000000,,,140,,長方形,,95,昭和34年,木造,住宅,その他,接面道路無,,,第１種低層住居専用地域,60,200,2021年第２四半期,,
22,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,春日町,門司港,30分?60分,1900000,,,115,,ほぼ正方形,10,60,昭和40年,軽量鉄骨造,住宅,住宅,南西,県道,25.7,第２種住居地域,60,200,2021年第１四半期,,
23,宅地(土地),住宅地,40101,福岡県,北九州市門司区,片上町,小森江,18,3500000,23000,,500,7100,ほぼ台形,,,,,,その他,東,市道,5,第１種住居地域,60,200,2021年第１四半期,,
24,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,片上町,小森江,15,50000,,,240,,ほぼ台形,13,40,昭和50年,木造,住宅,住宅,西,市道,5.8,第１種住居地域,60,200,2021年第１四半期,,
25,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,12000000,,,320,,ほぼ整形,15,220,昭和39年,木造,住宅,住宅,北西,市道,5.6,第１種住居地域,60,200,2021年第３四半期,,
26,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,1900000,,,230,,不整形,6,70,昭和50年,木造,住宅,住宅,北東,市道,5,第１種低層住居専用地域,50,80,2021年第２四半期,,
27,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,2400000,,,260,,長方形,13,110,昭和44年,木造、軽量鉄骨造,住宅,住宅,南西,市道,4,第１種低層住居専用地域,50,80,2021年第１四半期,,調停・競売等
28,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,3900000,,,300,,ほぼ長方形,13,70,昭和46年,軽量鉄骨造,住宅,住宅,北東,私道,4,第１種低層住居専用地域,50,80,2021年第１四半期,,調停・競売等、私道を含む取引
29,宅地(土地),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,2000000,5900,,1100,1800,不整形,22,,,,,その他,北西,市道,5.5,第１種住居地域,60,200,2021年第１四半期,,
30,宅地(土地),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,800000,5700,,460,1700,不整形,21,,,,,,北東,私道,4,市街化調整区域,70,200,2021年第１四半期,,
31,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上本町,門司港,30分?60分,280000,,,210,,ほぼ台形,24.5,140,,木造,住宅,住宅,南,市道,2,第１種住居地域,60,200,2022年第２四半期,,
32,中古マンション等,,40101,福岡県,北九州市門司区,上馬寄,門司,2H?,4500000,,３ＬＤＫ,70,,,,,,,,住宅,,,,第１種住居地域,60,200,2022年第１四半期,,
33,宅地(土地),住宅地,40101,福岡県,北九州市門司区,上馬寄,門司,25,47000000,390000,,400,120000,ほぼ長方形,20,,,,,その他,西,市道,11,第１種中高層住居専用地域,60,200,2021年第４四半期,,
34,宅地(土地),住宅地,40101,福岡県,北九州市門司区,上馬寄,門司,30分?60分,7000000,240000,,100,72000,ほぼ長方形,14.6,,,,,住宅,北西,市道,3.5,第１種住居地域,60,200,2021年第２四半期,,
35,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上馬寄,門司,29,29000000,,,180,,ほぼ整形,7,105,令和2年,木造,住宅,住宅,北西,市道,6,第１種住居地域,60,200,2021年第１四半期,,
36,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,大字吉志,門司,1H30?2H,22000000,,,220,,ほぼ正方形,14.5,105,平成27年,木造,住宅,住宅,南西,市道,6,第１種住居地域,60,200,2021年第３四半期,,調停・競売等
37,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,2000000,24000,,280,7100,ほぼ台形,22,,,,,,北,市道,3,第１種低層住居専用地域,50,80,2022年第3四半期,,
38,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,19000000,,,210,,長方形,19,100,平成14年,木造,住宅,住宅,北,市道,5,第１種低層住居専用地域,50,80,2022年第3四半期,,
39,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,4800000,,,145,,ほぼ整形,11,100,昭和54年,木造,住宅,住宅,南,市道,4,第１種住居地域,60,200,2022年第２四半期,,
40,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,9000000,110000,,260,35000,台形,16,,,,,,東,市道,3.2,第１種低層住居専用地域,50,80,2022年第２四半期,,
41,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,13000000,,,220,,長方形,16,130,平成7年,木造,住宅,住宅,北,市道,6,第１種低層住居専用地域,50,80,2022年第２四半期,,
42,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,23000000,,,165,,ほぼ長方形,10.5,100,令和4年,木造,住宅,,北,市道,4.4,第１種低層住居専用地域,50,80,2022年第２四半期,,
43,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,31000000,,,145,,不整形,15.5,110,令和2年,木造,住宅,,南西,市道,6,第１種住居地域,60,200,2022年第１四半期,,
44,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,1000000,,,125,,長方形,13,95,昭和49年,木造,住宅,その他,西,私道,3,近隣商業地域,80,200,2021年第４四半期,,
45,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,48000000,69000,,2000㎡以上,21000,ほぼ整形,50.0m以上,,,,,倉庫,北,市道,6,第１種低層住居専用地域,50,80,2021年第４四半期,,
46,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,92000000,,,1300,,不整形,21,310,平成18年,木造,共同住宅,その他,北,市道,7,第１種低層住居専用地域,50,80,2021年第４四半期,,
47,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,30000000,120000,,810,37000,不整形,,,,,,住宅,南,市道,5,第１種住居地域,60,200,2021年第４四半期,,
48,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,3000000,,,195,,不整形,17,95,昭和52年,木造,住宅,住宅,北東,市道,2.7,近隣商業地域,80,200,2021年第３四半期,,
49,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,7100000,85000,,270,26000,不整形,43,,,,,その他,南,県道,6.5,第１種住居地域,60,200,2021年第３四半期,,
50,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,2500000,48000,,170,15000,袋地等,15,,,,,その他,東,市道,6,第１種低層住居専用地域,50,80,2021年第３四半期,,
51,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,18000000,,,185,,長方形,8,90,令和3年,木造,住宅,住宅,南,市道,4,第１種住居地域,60,200,2021年第３四半期,,
52,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,11000000,,,165,,台形,11.5,125,昭和56年,ＲＣ,住宅,住宅,北西,市道,4.5,近隣商業地域,80,200,2021年第１四半期,,
53,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,3200000,80000,,130,24000,ほぼ長方形,7,,,,,その他,南,市道,4.5,第１種住居地域,60,200,2021年第１四半期,,
54,中古マンション等,,40101,福岡県,北九州市門司区,吉志,門司,1H30?2H,4300000,,４ＬＤＫ,70,,,,,昭和64年,ＲＣ,,住宅,,,,第１種住居地域,60,200,2021年第１四半期,未改装,
55,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,19000000,,,220,,台形,12,140,平成20年,軽量鉄骨造,住宅,住宅,南東,市道,6,第１種低層住居専用地域,40,60,2022年第１四半期,,
56,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,25000000,100000,,820,31000,ほぼ整形,46,,,,,住宅,北西,市道,6,第１種低層住居専用地域,40,60,2021年第４四半期,,
57,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,40000000,,,220,,長方形,12.5,115,令和3年,木造,住宅,住宅,南,市道,6,第１種低層住居専用地域,40,60,2021年第４四半期,,
58,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,23000000,,,210,,長方形,13,125,平成16年,木造,住宅,住宅,南東,市道,6,第１種住居地域,60,200,2021年第３四半期,,
59,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,7800000,110000,,240,33000,ほぼ長方形,12.5,,,,,住宅,南西,市道,6,第１種低層住居専用地域,40,60,2021年第３四半期,,
60,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,7000000,87000,,270,26000,長方形,14.5,,,,,住宅,南東,市道,6,第１種低層住居専用地域,40,60,2021年第３四半期,,
61,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,7700000,120000,,220,35000,長方形,10,,,,,住宅,北東,市道,6,第１種低層住居専用地域,40,60,2021年第３四半期,,
62,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,40000000,,,220,,ほぼ長方形,14,110,令和2年,軽量鉄骨造,住宅,住宅,南東,市道,6,第１種低層住居専用地域,40,60,2021年第３四半期,,
63,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,7800000,110000,,240,33000,長方形,13,,,,,住宅,南西,市道,6,第１種低層住居専用地域,40,60,2021年第３四半期,,
64,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,7300000,120000,,200,36000,長方形,12.5,,,,,住宅,北西,市道,6,第１種低層住居専用地域,40,60,2021年第３四半期,,
65,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,17000000,,,210,,長方形,11.5,120,平成20年,木造,住宅,住宅,北西,市道,6,第１種低層住居専用地域,40,60,2021年第２四半期,,
66,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,32000000,,,220,,ほぼ長方形,17,110,令和3年,木造,住宅,住宅,北,市道,6,第１種低層住居専用地域,40,60,2021年第２四半期,,
67,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,11000000,84000,,420,26000,長方形,,,,,,その他,北,市道,6,第１種低層住居専用地域,40,60,2021年第２四半期,,
68,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,41000000,,,210,,長方形,13,110,令和4年,木造,住宅,住宅,南西,市道,6,第１種低層住居専用地域,40,60,2021年第２四半期,,
69,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,6200000,94000,,220,28000,長方形,13.5,,,,,住宅,南東,市道,6,第１種低層住居専用地域,40,60,2021年第１四半期,,
70,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,7700000,120000,,200,38000,ほぼ長方形,11.5,,,,,住宅,南西,市道,6,第１種低層住居専用地域,40,60,2021年第１四半期,,
71,宅地(土地),住宅地,40101,福岡県,北九州市門司区,吉志新町,門司,1H30?2H,8500000,130000,,220,39000,長方形,14,,,,,事務所,北,市道,6,第１種低層住居専用地域,40,60,2021年第１四半期,,
72,中古マンション等,,40101,福岡県,北九州市門司区,北川町,小森江,12,2000000,,３ＬＤＫ,65,,,,,昭和63年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2022年第２四半期,未改装,
73,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,北川町,小森江,14,1500000,,,220,,ほぼ長方形,12,110,昭和57年,木造,住宅,住宅,北,市道,4.6,第１種中高層住居専用地域,,,2021年第１四半期,,
74,中古マンション等,,40101,福岡県,北九州市門司区,旧門司,門司港,15,8500000,,３ＬＤＫ,70,,,,,昭和63年,ＳＲＣ,住宅,住宅,,,,商業地域,80,400,2022年第3四半期,未改装,
75,中古マンション等,,40101,福岡県,北九州市門司区,旧門司,門司港,15,650000,,４ＬＤＫ,75,,,,,昭和63年,ＳＲＣ,住宅,住宅,,,,商業地域,80,400,2022年第3四半期,未改装,
76,中古マンション等,,40101,福岡県,北九州市門司区,旧門司,門司港,15,7800000,,４ＬＤＫ,95,,,,,昭和64年,ＳＲＣ,住宅,住宅,,,,商業地域,80,400,2021年第４四半期,未改装,
77,宅地(土地),住宅地,40101,福岡県,北九州市門司区,旧門司,門司港,21,3500000,140000,,85,42000,ほぼ整形,8,,,,,住宅,北,市道,5,商業地域,80,400,2021年第３四半期,,隣地の購入
78,宅地(土地),商業地,40101,福岡県,北九州市門司区,旧門司,門司港,16,900000,63000,,45,19000,ほぼ整形,8,,,,,その他,南西,市道,15,商業地域,80,400,2021年第３四半期,,
79,宅地(土地),商業地,40101,福岡県,北九州市門司区,旧門司,門司港,15,5800000,180000,,105,56000,ほぼ整形,7,,,,,その他,西,市道,15,商業地域,80,400,2021年第２四半期,,
80,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,旧門司,門司港,18,300000,,,130,,不整形,18,60,昭和50年,木造,住宅,住宅,北東,道路,1,第１種住居地域,60,200,2021年第２四半期,,
81,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,旧門司,門司港,21,8000000,,,155,,台形,,140,平成8年,木造,住宅,,北東,市道,2.5,第１種住居地域,60,200,2021年第１四半期,,
82,中古マンション等,,40101,福岡県,北九州市門司区,清滝,門司港,9,2000000,,１Ｋ,15,,,,,平成4年,ＲＣ,,住宅,,,,第１種中高層住居専用地域,60,200,2022年第１四半期,改装済,
83,中古マンション等,,40101,福岡県,北九州市門司区,清滝,門司港,10,16000000,,３ＬＤＫ＋Ｓ,85,,,,,,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2022年第１四半期,未改装,
84,中古マンション等,,40101,福岡県,北九州市門司区,清滝,門司港,8,26000000,,２ＬＤＫ,80,,,,,平成26年,ＲＣ,住宅,住宅,,,,商業地域,80,400,2021年第４四半期,未改装,
85,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,清滝,門司港,8,8500000,,,185,,ほぼ整形,11,155,平成7年,木造,住宅,住宅,北西,市道,2,第１種住居地域,60,200,2021年第３四半期,,
86,中古マンション等,,40101,福岡県,北九州市門司区,清見,門司港,26,14000000,,４ＬＤＫ,75,,,,,平成9年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2022年第3四半期,改装済,
87,宅地(土地),商業地,40101,福岡県,北九州市門司区,清見,門司港,18,4400000,230000,,65,70000,ほぼ長方形,5.7,,,,,住宅,南,県道,25,近隣商業地域,80,200,2022年第２四半期,,
88,宅地(土地),商業地,40101,福岡県,北九州市門司区,清見,門司港,16,3600000,210000,,60,62000,長方形,5,,,,,住宅,南,県道,18,近隣商業地域,60,200,2022年第２四半期,,
89,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,清見,門司港,30分?60分,20000000,,,270,,ほぼ長方形,13,100,平成23年,木造,住宅,その他,南東,市道,6,第１種住居地域,60,200,2022年第１四半期,,
90,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,清見,門司港,21,27000000,,,140,,長方形,8.5,100,令和3年,木造,住宅,住宅,北東,市道,5,第１種住居地域,60,200,2022年第１四半期,,
91,中古マンション等,,40101,福岡県,北九州市門司区,清見,門司港,21,13000000,,３ＬＤＫ,75,,,,,平成11年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2022年第１四半期,未改装,
92,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,清見,門司港,30分?60分,1700000,,,310,,ほぼ長方形,15,80,昭和51年,木造,住宅,住宅,南西,市道,4,市街化調整区域,,,2021年第４四半期,,
93,宅地(土地),住宅地,40101,福岡県,北九州市門司区,清見,門司港,28,1500000,33000,,150,9900,不整形,,,,,,その他,南,市道,2.7,第１種住居地域,60,200,2021年第３四半期,,
94,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,清見,門司港,19,29000000,,,140,,長方形,9.5,100,令和3年,木造,住宅,住宅,東,市道,6,第１種住居地域,60,200,2021年第３四半期,,
95,中古マンション等,,40101,福岡県,北九州市門司区,清見,門司港,26,6500000,,３ＬＤＫ,65,,,,,平成9年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2021年第３四半期,未改装,
96,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,清見,門司港,21,29000000,,,140,,ほぼ整形,8.5,100,令和3年,木造,住宅,住宅,北東,市道,6,第１種住居地域,60,200,2021年第２四半期,,
97,中古マンション等,,40101,福岡県,北九州市門司区,清見,門司港,25,11000000,,４ＬＤＫ,80,,,,,平成9年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2021年第２四半期,未改装,
98,宅地(土地),住宅地,40101,福岡県,北九州市門司区,葛葉,門司港,23,5500000,120000,,155,35000,長方形,11,,,,,住宅,南西,市道,4.5,準工業地域,60,200,2021年第２四半期,,
99,宅地(土地),宅地見込地,40101,福岡県,北九州市門司区,大字黒川,門司港,30分?60分,4500000,32000,,470,9700,ほぼ整形,,,,,,,接面道路無,,,市街化調整区域,,,2021年第３四半期,,
100,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,黒川西,門司港,30分?60分,1000000,,,210,,不整形,5,115,昭和55年,木造,住宅,住宅,西,市道,6,第１種低層住居専用地域,50,80,2021年第４四半期,,
101,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,黒川西,門司港,30分?60分,4800000,,,170,,ほぼ整形,11,75,昭和60年,木造,住宅,住宅,北東,市道,6,第１種低層住居専用地域,50,80,2021年第３四半期,,
102,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,黒川西,門司港,30分?60分,22000000,,,190,,ほぼ長方形,15,115,平成26年,木造,住宅,,南東,市道,6.9,第１種住居地域,60,200,2021年第１四半期,,
103,宅地(土地),住宅地,40101,福岡県,北九州市門司区,黒川東,門司港,30分?60分,1000000,50000,,65,15000,ほぼ台形,11.5,,,,,その他,東,市道,5,第１種中高層住居専用地域,60,200,2021年第２四半期,,
104,宅地(土地),住宅地,40101,福岡県,北九州市門司区,黒川東,門司港,30分?60分,1300000,50000,,85,15000,ほぼ整形,10,,,,,その他,南東,市道,4,第１種住居地域,60,200,2021年第１四半期,,
105,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,黄金町,門司,11,3300000,,,45,,長方形,4,,昭和47年,木造,住宅,その他,西,国道,15,近隣商業地域,80,300,2021年第３四半期,,
106,中古マンション等,,40101,福岡県,北九州市門司区,黄金町,門司,8,23000000,,４ＬＤＫ,80,,,,,平成20年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,300,2021年第２四半期,未改装,
107,中古マンション等,,40101,福岡県,北九州市門司区,黄金町,門司,11,22000000,,４ＬＤＫ,80,,,,,平成26年,ＲＣ,,住宅,,,,近隣商業地域,80,300,2021年第２四半期,未改装,
108,中古マンション等,,40101,福岡県,北九州市門司区,小松町,門司,14,18000000,,４ＬＤＫ,75,,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2022年第２四半期,改装済,
109,宅地(土地),住宅地,40101,福岡県,北九州市門司区,小松町,門司,16,25000000,180000,,470,53000,ほぼ台形,20,,,,,住宅,北東,市道,5.5,第１種中高層住居専用地域,60,200,2022年第１四半期,,
110,中古マンション等,,40101,福岡県,北九州市門司区,小松町,門司,17,9500000,,４ＬＤＫ,75,,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2021年第４四半期,未改装,
111,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,小松町,門司,19,32000000,,,130,,長方形,8,105,令和3年,木造,住宅,住宅,北東,市道,7.5,第１種中高層住居専用地域,60,200,2021年第３四半期,,
112,中古マンション等,,40101,福岡県,北九州市門司区,小松町,門司,16,8600000,,３ＬＤＫ,65,,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2021年第２四半期,未改装,
113,中古マンション等,,40101,福岡県,北九州市門司区,小松町,門司港,15,3300000,,,90,,,,,平成2年,ＲＣ,住宅,その他,,,,第１種住居地域,60,200,2022年第２四半期,未改装,
114,中古マンション等,,40101,福岡県,北九州市門司区,小森江,小森江,4,6800000,,４ＬＤＫ,70,,,,,平成7年,ＲＣ,住宅,住宅,,,,工業地域,60,200,2022年第3四半期,未改装,
115,中古マンション等,,40101,福岡県,北九州市門司区,小森江,小森江,4,15000000,,３ＬＤＫ,65,,,,,平成7年,ＲＣ,住宅,住宅,,,,工業地域,60,200,2022年第２四半期,改装済,
116,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,栄町,門司港,5,2000000,,,50,,長方形,3.5,,,ＲＣ,店舗,店舗,南西,市道,8,商業地域,80,400,2021年第４四半期,,
117,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,栄町,門司港,6,10000000,,,115,,不整形,7,125,昭和25年,,,その他,北西,市道,5,商業地域,80,400,2021年第４四半期,,
118,宅地(土地),商業地,40101,福岡県,北九州市門司区,栄町,門司港,6,2700000,240000,,35,72000,長方形,2.3,,,,,その他,南西,市道,10,商業地域,80,400,2021年第４四半期,,
119,宅地(土地),住宅地,40101,福岡県,北九州市門司区,大字猿喰,門司,1H?1H30,15000000,55000,,900,17000,正方形,30,,,,,,北西,市道,10.5,市街化調整区域,70,200,2022年第１四半期,,
120,農地,,40101,福岡県,北九州市門司区,大字猿喰,,,1500000,,,5000㎡以上,,,,,,,,,,,,,,,2021年第３四半期,,
121,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,寺内,小森江,24,3500000,,,560,,不整形,25,105,昭和43年,木造,住宅,住宅,北,市道,4,第１種住居地域,60,200,2022年第１四半期,,
122,中古マンション等,,40101,福岡県,北九州市門司区,寺内,門司,25,1700000,,２ＬＤＫ,65,,,,,昭和60年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2022年第3四半期,未改装,
123,中古マンション等,,40101,福岡県,北九州市門司区,寺内,門司,25,1600000,,３ＬＤＫ,70,,,,,昭和62年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2022年第２四半期,未改装,
124,宅地(土地),住宅地,40101,福岡県,北九州市門司区,寺内,門司,19,12000000,260000,,150,79000,長方形,11.5,,,,,住宅,北東,市道,5,第１種住居地域,60,200,2022年第１四半期,,
125,宅地(土地),住宅地,40101,福岡県,北九州市門司区,寺内,門司,21,8500000,160000,,170,50000,ほぼ長方形,7.5,,,,,住宅,北東,市道,4.5,第１種住居地域,60,200,2021年第４四半期,,
126,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,寺内,門司,23,15000000,,,380,,不整形,13,150,昭和64年,木造,住宅,住宅,東,市道,4,第１種住居地域,60,200,2021年第２四半期,,
